Company,Symbol,companyLow,charLength,companyFinal
Lj International  (Inactive),JADE,lj international  (inactive),3,lj international
LoJack Corporation,LOJN,lojack corporation,2,lojack corporation
LogMeIn ,LOGM,logmein ,1,logmein
Logitech International SA (USA),LOGI,logitech international sa (usa),4,logitech international sa
Lombard Medical ,EVAR,lombard medical ,2,lombard medical
Loncar Cancer Immunotherapy ETF,CNCR,loncar cancer immunotherapy etf,4,loncar cancer immunotherapy
Lonestar Resources US ,LONE,lonestar resources us ,3,lonestar resources us
Long Island Iced Tea Corp,LTEA,long island iced tea corp,5,long island iced
LookSmart .,LOOK,looksmart .,2,looksmart .
LoopNet  (Inactive),LOOP,loopnet  (inactive),2,loopnet (inactive)
Loral Space & Communications .,LORL,loral space & communications .,5,loral space &
Louisiana Bancorp ,LABC,louisiana bancorp ,2,louisiana bancorp
Loxo Oncology ,LOXO,loxo oncology ,2,loxo oncology
Loyalty Alliance Enterprise Corp,LAEC,loyalty alliance enterprise corp,4,loyalty alliance enterprise
Luca Technologies ,LUCA,luca technologies ,2,luca technologies
Lufkin Industries  (Inactive),LUFK,lufkin industries  (inactive),3,lufkin industries
Lululemon Athletica ,LULU,lululemon athletica ,2,lululemon athletica
Lumenis ,LMNS,lumenis ,1,lumenis
Lumentum Holdings ,LITE,lumentum holdings ,2,lumentum holdings
Luminex Corporation,LMNX,luminex corporation,2,luminex corporation
Lumos Networks Corp,LMOS,lumos networks corp,3,lumos networks corp
Luna Innovations orporated,LUNA,luna innovations orporated,3,luna innovations orporated
M I Acquisitions ,MACQU,m i acquisitions ,3,m i acquisitions
M I Acquisitions ,MACQ,m i acquisitions ,3,m i acquisitions
M III Acquisition Corp,MIIIU,m iii acquisition corp,4,m iii acquisition
M III Acquisition Corp.,MIII,m iii acquisition corp.,4,m iii acquisition
MACOM Technology Solutions Holdings ,MTSI,macom technology solutions holdings ,4,macom technology solutions
MAKO Surgical Corp. (Inactive),MAKO,mako surgical corp. (inactive),4,mako surgical corp.
MAM Software Group ,MAMS,mam software group ,3,mam software group
MAP Pharmaceuticals  (Inactive),MAPP,map pharmaceuticals  (inactive),3,map pharmaceuticals
MB Financial ,MBFI,mb financial ,2,mb financial
MB Financial   Perpetual NonCumulative Preferred Stock Series A,MBFIP,mb financial   perpetual noncumulative preferred stock series a,8,mb financial
MBT Financial Corp.,MBTF,mbt financial corp.,3,mbt financial corp.
MCBC Holdings ,MCFT,mcbc holdings ,2,mcbc holdings
MCG Capital Corp,MCGC,mcg capital corp,3,mcg capital corp
MDC Partners ,MDCA,mdc partners ,2,mdc partners
MEDTOX Scientific  (Inactive),MTOX,medtox scientific  (inactive),3,medtox scientific
MEI Pharma ,MEIP,mei pharma ,2,mei pharma
MEMSIC  (Inactive),MEMS,memsic  (inactive),2,memsic (inactive)
MER Telemanagement Solutions .,MTSL,mer telemanagement solutions .,4,mer telemanagement solutions
MGC Diagnostics Corp,MGCD,mgc diagnostics corp,3,mgc diagnostics corp
MGE Energy ,MGEE,mge energy ,2,mge energy
MGP Ingredients ,MGPI,mgp ingredients ,2,mgp ingredients
MICROS Systems  (Inactive),MCRS,micros systems  (inactive),3,micros systems
MIND C.T.I. .,MNDO,mind c.t.i. .,3,mind c.t.i. .
MINDBODY ,MB,mindbody ,1,mindbody
